sample,time_us,channel1_v
605,193.600000,3.301045681
606,193.920000,3.304755994
607,194.240000,3.308466308
608,194.560000,3.312176621
609,194.880000,3.308466308
610,195.200000,3.308466308
611,195.520000,3.308466308
612,195.840000,3.304755994
613,196.160000,3.304755994
614,196.480000,3.304755994
615,196.800000,3.297335368
616,197.120000,3.304755994
617,197.440000,3.308466308
618,197.760000,3.308466308
619,198.080000,3.308466308
620,198.400000,3.304755994
621,198.720000,3.304755994
622,199.040000,3.304755994
623,199.360000,3.304755994
624,199.680000,3.304755994
625,200.000000,3.301045681
626,200.320000,3.304755994
627,200.640000,3.308466308
628,200.960000,3.304755994
629,201.280000,3.308466308
630,201.600000,3.304755994
631,201.920000,3.301045681
632,202.240000,3.304755994
633,202.560000,3.304755994
634,202.880000,3.308466308
635,203.200000,3.308466308
636,203.520000,3.312176621
637,203.840000,3.308466308
638,204.160000,3.308466308
639,204.480000,3.304755994
640,204.800000,3.304755994
641,205.120000,3.308466308
642,205.440000,3.308466308
643,205.760000,3.308466308
644,206.080000,3.308466308
645,206.400000,3.304755994
646,206.720000,3.312176621
647,207.040000,3.312176621
648,207.360000,3.304755994
649,207.680000,3.308466308
650,208.000000,3.308466308
651,208.320000,3.308466308
652,208.640000,3.304755994
653,208.960000,3.304755994
654,209.280000,3.308466308
655,209.600000,3.312176621
656,209.920000,3.312176621
657,210.240000,3.312176621
658,210.560000,3.312176621
659,210.880000,3.308466308
660,211.200000,3.308466308
661,211.520000,3.312176621
662,211.840000,3.308466308
663,212.160000,3.308466308
664,212.480000,3.304755994
665,212.800000,3.304755994
666,213.120000,3.308466308
667,213.440000,3.308466308
668,213.760000,3.312176621
669,214.080000,3.312176621
670,214.400000,3.308466308
671,214.720000,3.308466308
672,215.040000,3.304755994
673,215.360000,3.304755994
674,215.680000,3.308466308
675,216.000000,3.304755994
676,216.320000,3.301045681
677,216.640000,3.304755994
678,216.960000,3.304755994
679,217.280000,3.304755994
680,217.600000,3.304755994
681,217.920000,3.304755994
682,218.240000,3.304755994
683,218.560000,3.304755994
684,218.880000,3.304755994
685,219.200000,3.308466308
686,219.520000,3.308466308
687,219.840000,3.308466308
688,220.160000,3.304755994
689,220.480000,3.308466308
690,220.800000,3.304755994
691,221.120000,3.308466308
692,221.440000,3.308466308
693,221.760000,3.304755994
694,222.080000,3.304755994
695,222.400000,3.304755994
696,222.720000,3.304755994
697,223.040000,3.304755994
698,223.360000,3.301045681
699,223.680000,3.308466308
700,224.000000,3.308466308
701,224.320000,3.308466308
702,224.640000,3.304755994
703,224.960000,3.308466308
704,225.280000,3.301045681
705,225.600000,3.304755994
706,225.920000,3.308466308
707,226.240000,3.312176621
708,226.560000,3.308466308
709,226.880000,3.308466308
710,227.200000,3.308466308
711,227.520000,3.312176621
712,227.840000,3.304755994
713,228.160000,3.308466308
714,228.480000,3.312176621
715,228.800000,3.308466308
716,229.120000,3.308466308
717,229.440000,3.308466308
718,229.760000,3.308466308
719,230.080000,3.312176621
720,230.400000,3.312176621
721,230.720000,3.308466308
722,231.040000,3.304755994
723,231.360000,3.301045681
724,231.680000,3.304755994
725,232.000000,3.308466308
726,232.320000,3.312176621
727,232.640000,3.315886934
728,232.960000,3.315886934
729,233.280000,3.308466308
730,233.600000,3.308466308
731,233.920000,3.308466308
732,234.240000,3.312176621
733,234.560000,3.312176621
734,234.880000,3.312176621
735,235.200000,3.312176621
736,235.520000,3.308466308
737,235.840000,3.312176621
738,236.160000,3.308466308
739,236.480000,3.312176621
740,236.800000,3.304755994
741,237.120000,3.308466308
742,237.440000,3.308466308
743,237.760000,3.308466308
744,238.080000,3.308466308
745,238.400000,3.308466308
746,238.720000,3.308466308
747,239.040000,3.304755994
748,239.360000,3.308466308
749,239.680000,3.312176621
750,240.000000,3.304755994
751,240.320000,3.308466308
752,240.640000,3.308466308
753,240.960000,3.304755994
754,241.280000,3.308466308
755,241.600000,3.312176621
756,241.920000,3.312176621
757,242.240000,3.304755994
758,242.560000,3.308466308
759,242.880000,3.308466308
760,243.200000,3.308466308
761,243.520000,3.308466308
762,243.840000,3.312176621
763,244.160000,3.312176621
764,244.480000,3.308466308
765,244.800000,3.308466308
766,245.120000,3.304755994
767,245.440000,3.308466308
768,245.760000,3.308466308
769,246.080000,3.308466308
770,246.400000,3.308466308
771,246.720000,3.312176621
772,247.040000,3.312176621
773,247.360000,3.308466308
774,247.680000,3.308466308
775,248.000000,3.308466308
776,248.320000,3.308466308
777,248.640000,3.304755994
778,248.960000,3.308466308
779,249.280000,3.301045681
780,249.600000,3.301045681
781,249.920000,3.308466308
782,250.240000,3.304755994
783,250.560000,3.304755994
784,250.880000,3.304755994
785,251.200000,3.301045681
786,251.520000,3.304755994
787,251.840000,3.304755994
788,252.160000,3.304755994
789,252.480000,3.308466308
790,252.800000,3.304755994
791,253.120000,3.308466308
792,253.440000,3.308466308
793,253.760000,3.308466308
794,254.080000,3.308466308
795,254.400000,3.312176621
796,254.720000,3.308466308
797,255.040000,3.312176621
798,255.360000,3.308466308
799,255.680000,3.308466308
800,256.000000,3.308466308
801,256.320000,3.308466308
802,256.640000,3.308466308
803,256.960000,3.308466308
804,257.280000,3.304755994
805,257.600000,3.312176621
806,257.920000,3.312176621
807,258.240000,3.312176621
808,258.560000,3.315886934
809,258.880000,3.308466308
810,259.200000,3.304755994
811,259.520000,3.304755994
812,259.840000,3.312176621
813,260.160000,3.312176621
814,260.480000,3.304755994
815,260.800000,3.304755994
816,261.120000,3.301045681
817,261.440000,3.301045681
818,261.760000,3.304755994
819,262.080000,3.308466308
820,262.400000,3.308466308
821,262.720000,3.308466308
822,263.040000,3.308466308
823,263.360000,3.304755994
824,263.680000,3.304755994
825,264.000000,3.304755994
826,264.320000,3.308466308
827,264.640000,3.301045681
828,264.960000,3.304755994
829,265.280000,3.304755994
830,265.600000,3.304755994
831,265.920000,3.301045681
832,266.240000,3.301045681
833,266.560000,3.301045681
834,266.880000,3.301045681
835,267.200000,3.304755994
836,267.520000,3.304755994
837,267.840000,3.308466308
838,268.160000,3.308466308
839,268.480000,3.304755994
840,268.800000,3.308466308
841,269.120000,3.308466308
842,269.440000,3.304755994
843,269.760000,3.308466308
844,270.080000,3.312176621
845,270.400000,3.308466308
846,270.720000,3.308466308
